Genus,Species,Sensitivity
Cricotopus,sp,0.50
Tanytarsus,excavatus,0.50
Micropsectra,notescens,0.51
Tanytarsus,mancospinosus,0.52
Tanytarsus,bathophilus,0.52
Corynoneura,edwardsi,0.53
Polypedilum,bicrenatum,0.54
Corynoneura,carriana,0.54
Cricotopus,sp,0.56
Cricotopus,tricinctus,0.56
Paraphaenocladius,exagitans,0.56
Paratanytarsus,laetipes,0.56
Parachironomus,arcuatus,0.57
Orthocladius,holsatus,0.57
Dicrotendipes,nervosus,0.58
Micropsectra,contracta,0.60
Tanytarsus,innarensis,0.61
Rheocricotopus,fuscipes,0.62
Parachironomus,varus,0.64
Cryptochironomus,redekei,0.65
Chironomus,cingulatus,0.65
Cryptochironomus,psittacinus,0.66
Rheotanytarsus,curtistylus,0.66
Ablabesmyia,phatta,0.66
Limnophyes,punctipennis,0.66
Paratanytarsus,lauterborni,0.68
Corynoneura,scutellata,0.68
Micropsectra,lindrothi,0.72
Tanytarsus,ejuncidus,0.72
Procladius,sagittalis,0.72
Chironomus,pallidivittatus,0.74
Procladius,rufovittatus,0.74
